,Link,Rank,Title,Year
91,https://www.imdb.com/title/tt0045152/,92,Singin' in the Rain,1952
92,https://www.imdb.com/title/tt0361748/,93,Inglourious Basterds,2009
93,https://www.imdb.com/title/tt0211915/,94,Amélie,2001
94,https://www.imdb.com/title/tt0036775/,95,Double Indemnity,1944
95,https://www.imdb.com/title/tt0075314/,96,Taxi Driver,1976
96,https://www.imdb.com/title/tt0093058/,97,Full Metal Jacket,1987
97,https://www.imdb.com/title/tt0119217/,98,Good Will Hunting,1997
98,https://www.imdb.com/title/tt0040522/,99,Bicycle Thieves,1948
99,https://www.imdb.com/title/tt0056592/,100,To Kill a Mockingbird,1962
100,https://www.imdb.com/title/tt0012349/,101,The Kid,1921
101,https://www.imdb.com/title/tt0070735/,102,The Sting,1973
102,https://www.imdb.com/title/tt0435761/,103,Toy Story 3,2010
103,https://www.imdb.com/title/tt2106476/,104,The Hunt,2012
104,https://www.imdb.com/title/tt0208092/,105,Snatch,2000
105,https://www.imdb.com/title/tt0086250/,106,Scarface,1983
106,https://www.imdb.com/title/tt0059578/,107,For a Few Dollars More,1965
107,https://www.imdb.com/title/tt0053604/,108,The Apartment,1960
108,https://www.imdb.com/title/tt0017136/,109,Metropolis,1927
109,https://www.imdb.com/title/tt0071853/,110,Monty Python and the Holy Grail,1975
110,https://www.imdb.com/title/tt0119488/,111,L,1997
111,https://www.imdb.com/title/tt1832382/,112,A Separation,2011
112,https://www.imdb.com/title/tt0097576/,113,Indiana Jones and the Last Crusade,1989
113,https://www.imdb.com/title/tt1049413/,114,Up,2009
114,https://www.imdb.com/title/tt0042876/,115,Rashomon,1950
115,https://www.imdb.com/title/tt0042192/,116,All About Eve,1950
116,https://www.imdb.com/title/tt0372784/,117,Batman Begins,2005
117,https://www.imdb.com/title/tt0053291/,118,Some Like It Hot,1959
118,https://www.imdb.com/title/tt0055630/,119,Yojimbo,1961
119,https://www.imdb.com/title/tt0363163/,120,Downfall,2004
120,https://www.imdb.com/title/tt0095016/,121,Die Hard,1988
121,https://www.imdb.com/title/tt0105695/,122,Unforgiven,1992
122,https://www.imdb.com/title/tt0113277/,123,Heat,1995
123,https://www.imdb.com/title/tt1255953/,124,Incendies,2010
124,https://www.imdb.com/title/tt0040897/,125,The Treasure of the Sierra Madre,1948
125,https://www.imdb.com/title/tt0044741/,126,Ikiru,1952
126,https://www.imdb.com/title/tt6966692/,127,Green Book,2018
127,https://www.imdb.com/title/tt0081398/,128,Raging Bull,1980
128,https://www.imdb.com/title/tt0057115/,129,The Great Escape,1963
129,https://www.imdb.com/title/tt0118849/,130,Children of Heaven,1997
130,https://www.imdb.com/title/tt0457430/,131,Pan's Labyrinth,2006
131,https://www.imdb.com/title/tt0071315/,132,Chinatown,1974
132,https://www.imdb.com/title/tt0096283/,133,My Neighbor Totoro,1988
133,https://www.imdb.com/title/tt0347149/,134,Howl's Moving Castle,2004
134,https://www.imdb.com/title/tt0089881/,135,Ran,1985
135,https://www.imdb.com/title/tt0041959/,136,The Third Man,1949
136,https://www.imdb.com/title/tt0055031/,137,Judgment at Nuremberg,1961
137,https://www.imdb.com/title/tt0476735/,138,My Father and My Son,2005
138,https://www.imdb.com/title/tt1305806/,139,The Secret in Their Eyes,2009
139,https://www.imdb.com/title/tt0015864/,140,The Gold Rush,1925
140,https://www.imdb.com/title/tt0268978/,141,A Beautiful Mind,2001
141,https://www.imdb.com/title/tt0050212/,142,The Bridge on the River Kwai,1957
142,https://www.imdb.com/title/tt0112641/,143,Casino,1995
143,https://www.imdb.com/title/tt0120735/,144,"Lock, Stock and Two Smoking Barrels",1998
144,https://www.imdb.com/title/tt5027774/,145,"Three Billboards Outside Ebbing, Missouri",2017
145,https://www.imdb.com/title/tt0050976/,146,The Seventh Seal,1957
146,https://www.imdb.com/title/tt0047296/,147,On the Waterfront,1954
147,https://www.imdb.com/title/tt0993846/,148,The Wolf of Wall Street,2013
148,https://www.imdb.com/title/tt1979376/,149,Toy Story 4,2019
149,https://www.imdb.com/title/tt0080678/,150,The Elephant Man,1980
150,https://www.imdb.com/title/tt2096673/,151,Inside Out,2015
151,https://www.imdb.com/title/tt0434409/,152,V for Vendetta,2005
152,https://www.imdb.com/title/tt0031679/,153,Mr,1939
153,https://www.imdb.com/title/tt0469494/,154,There Will Be Blood,2007
154,https://www.imdb.com/title/tt1291584/,155,Warrior,2011
155,https://www.imdb.com/title/tt0477348/,156,No Country for Old Men,2007
156,https://www.imdb.com/title/tt0083658/,157,Blade Runner,1982
157,https://www.imdb.com/title/tt0046912/,158,Dial M for Murder,1954
158,https://www.imdb.com/title/tt3170832/,159,Room,2015
159,https://www.imdb.com/title/tt0167404/,160,The Sixth Sense,1999
160,https://www.imdb.com/title/tt0050986/,161,Wild Strawberries,1957
161,https://www.imdb.com/title/tt0117951/,162,Trainspotting,1996
162,https://www.imdb.com/title/tt0017925/,163,The General,1926
163,https://www.imdb.com/title/tt0031381/,164,Gone with the Wind,1939
164,https://www.imdb.com/title/tt0084787/,165,The Thing,1982
165,https://www.imdb.com/title/tt0116282/,166,Fargo,1996
166,https://www.imdb.com/title/tt0091251/,167,Come and See,1985
167,https://www.imdb.com/title/tt8108198/,168,Andhadhun,2018
168,https://www.imdb.com/title/tt0266543/,169,Finding Nemo,2003
169,https://www.imdb.com/title/tt1205489/,170,Gran Torino,2008
170,https://www.imdb.com/title/tt0077416/,171,The Deer Hunter,1978
171,https://www.imdb.com/title/tt1130884/,172,Shutter Island,2010
172,https://www.imdb.com/title/tt0118715/,173,The Big Lebowski,1998
173,https://www.imdb.com/title/tt0266697/,174,Kill Bill: Vol,2003
174,https://www.imdb.com/title/tt0015324/,175,Sherlock Jr,1924
175,https://www.imdb.com/title/tt0061512/,176,Cool Hand Luke,1967
176,https://www.imdb.com/title/tt0978762/,177,Mary and Max,2009
177,https://www.imdb.com/title/tt0046438/,178,Tokyo Story,1953
178,https://www.imdb.com/title/tt2119532/,179,Hacksaw Ridge,2016
179,https://www.imdb.com/title/tt0107290/,180,Jurassic Park,1993
180,https://www.imdb.com/title/tt0032976/,181,Rebecca,1940
181,https://www.imdb.com/title/tt0892769/,182,How to Train Your Dragon,2010
182,https://www.imdb.com/title/tt2267998/,183,Gone Girl,2014
183,https://www.imdb.com/title/tt3011894/,184,Wild Tales,2014
184,https://www.imdb.com/title/tt0120382/,185,The Truman Show,1998
185,https://www.imdb.com/title/tt0079944/,186,Stalker,1979
186,https://www.imdb.com/title/tt2278388/,187,The Grand Budapest Hotel,2014
